specification,analysis_group,sample_type,lag_criterion,equation,parameter,coef,std_error,t_stat,p_value,nobs,lag_order,aic,bic,hqic,fpe
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,ig_spread_daily_chg,L1.ig_spread_daily_chg,0.6775473524881255,0.033099825257167974,20.469816599451637,4.001233000699101e-93,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,ig_spread_daily_chg,L1.btc_eth_daily_log_ret_avg,-0.018417336066565787,0.017893391778677242,-1.0292814405658353,0.30334744198208263,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,ig_spread_daily_chg,L1.btc_eth_realized_vol_7d,0.19885872994135234,0.04028737770369479,4.9360057982407435,7.973873752984844e-07,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,ig_spread_daily_chg,L1.term_spread_daily_chg,0.033570343819581946,0.015927560675294623,2.1076889615403065,0.03505790274501964,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,ig_spread_daily_chg,L1.usd_strength_daily_log_chg,0.32804515421236974,0.22092195649635796,1.4848915853131954,0.1375725454412861,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,btc_eth_daily_log_ret_avg,const,0.0001948325092965681,0.0019702975940166113,0.09888481308013285,0.9212297272084409,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,btc_eth_daily_log_ret_avg,L1.stablecoin_supply_daily_log_chg,0.43688794618273796,0.15983982726603166,2.7332859003632266,0.006270587582999058,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,btc_eth_daily_log_ret_avg,L1.hy_spread_daily_chg,-0.06972286600988861,0.013008953683791817,-5.359605984050669,8.340365366970241e-08,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,btc_eth_daily_log_ret_avg,L1.ig_spread_daily_chg,0.07944012826116786,0.04701644147781666,1.689624432734863,0.09109982857115402,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,btc_eth_daily_log_ret_avg,L1.btc_eth_daily_log_ret_avg,-0.08456010057498561,0.025416557364442257,-3.3269690840697854,0.0008779611344981113,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,btc_eth_daily_log_ret_avg,L1.btc_eth_realized_vol_7d,0.0024482086071564435,0.057225955768158254,0.04278143675004689,0.9658757617676196,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,btc_eth_daily_log_ret_avg,L1.term_spread_daily_chg,0.025945284836322448,0.022624204767129213,1.1467932289058151,0.2514670883276289,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,btc_eth_daily_log_ret_avg,L1.usd_strength_daily_log_chg,-1.2823766735415913,0.3138072227896856,-4.08651101826628,4.379086988131026e-05,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,btc_eth_realized_vol_7d,const,0.004283254030420649,0.00046323191980725715,9.246457006250427,2.3205724908481373e-20,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,btc_eth_realized_vol_7d,L1.stablecoin_supply_daily_log_chg,0.1436560628279473,0.03757955664715691,3.822718404497612,0.00013198848233119504,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,btc_eth_realized_vol_7d,L1.hy_spread_daily_chg,0.00578739896758269,0.0030585037549285903,1.8922320949440241,0.058460063884917354,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,btc_eth_realized_vol_7d,L1.ig_spread_daily_chg,-0.006085946607187024,0.011053922267587639,-0.5505689708921027,0.5819291845103789,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,btc_eth_realized_vol_7d,L1.btc_eth_daily_log_ret_avg,-0.022932067767350225,0.005975625559598894,-3.8376011914791914,0.0001242420425557549,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,btc_eth_realized_vol_7d,L1.btc_eth_realized_vol_7d,0.8527368992396153,0.013454256572099147,63.380454703679725,0.0,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,btc_eth_realized_vol_7d,L1.term_spread_daily_chg,0.012068894645044015,0.005319122268745666,2.268963568662251,0.023270541415031477,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,btc_eth_realized_vol_7d,L1.usd_strength_daily_log_chg,0.05600216768031702,0.07377846001725573,0.7590585066050296,0.44781755897380726,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,term_spread_daily_chg,const,0.0009394712020771234,0.002263347847393473,0.41508034355348494,0.6780830884524867,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
primary_bic_stablecoin_supply_daily_log_chg,primary,common_business_day,bic,term_spread_daily_chg,L1.stablecoin_supply_daily_log_chg,0.11742122062468618,0.183613445029293,0.6395023011847157,0.5224962171176161,1490,1,-56.730657393544334,-56.53121728727546,-56.656333843238286,2.3024428169080574e-25
