specification,analysis_group,sample_type,lag_criterion,caused,causing,caused_variables,causing_variables,direction,test_scope,test,statistic,p_value,df,significant_10pct,significant_5pct,significant_1pct,lag_order,nobs,error,fdr_family,fdr_family_size,fdr_q_value,fdr_reject_10pct
lag_robustness_aic_btc_eth_open_interest_daily_log_chg,lag_robustness,common_business_day,aic,ig_spread_daily_chg,btc_eth_open_interest_daily_log_chg,ig_spread_daily_chg,btc_eth_open_interest_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,2.2171091069307187,0.014333187904584406,"(10, 9870)",True,True,False,10,1481,,,,,False
lag_robustness_aic_btc_eth_open_interest_daily_log_chg,lag_robustness,common_business_day,aic,btc_eth_open_interest_daily_log_chg,hy_spread_daily_chg,btc_eth_open_interest_daily_log_chg,hy_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,1.9355838671499395,0.036096481200329704,"(10, 9870)",True,True,False,10,1481,,,,,False
lag_robustness_aic_btc_eth_open_interest_daily_log_chg,lag_robustness,common_business_day,aic,btc_eth_open_interest_daily_log_chg,ig_spread_daily_chg,btc_eth_open_interest_daily_log_chg,ig_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,3.7613742343716465,4.5306549097746075e-05,"(10, 9870)",True,True,True,10,1481,,,,,False
lag_robustness_aic_btc_eth_open_interest_daily_log_chg,lag_robustness,common_business_day,aic,btc_eth_open_interest_daily_log_chg,hy_spread_daily_chg + ig_spread_daily_chg,btc_eth_open_interest_daily_log_chg,"hy_spread_daily_chg, ig_spread_daily_chg",risk_to_crypto,joint_risk_group,granger_causality_f_test,3.27633062057986,1.0189686533846218e-06,"(20, 9870)",True,True,True,10,1481,,,,,False
lag_robustness_hqic_btc_eth_open_interest_daily_log_chg,lag_robustness,common_business_day,hqic,hy_spread_daily_chg,btc_eth_open_interest_daily_log_chg,hy_spread_daily_chg,btc_eth_open_interest_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,0.6195603457015498,0.4312286927499527,"(1, 10374)",False,False,False,1,1490,,,,,False
lag_robustness_hqic_btc_eth_open_interest_daily_log_chg,lag_robustness,common_business_day,hqic,ig_spread_daily_chg,btc_eth_open_interest_daily_log_chg,ig_spread_daily_chg,btc_eth_open_interest_daily_log_chg,crypto_to_risk,individual,granger_causality_f_test,0.8970405938148576,0.3435985386029069,"(1, 10374)",False,False,False,1,1490,,,,,False
lag_robustness_hqic_btc_eth_open_interest_daily_log_chg,lag_robustness,common_business_day,hqic,btc_eth_open_interest_daily_log_chg,hy_spread_daily_chg,btc_eth_open_interest_daily_log_chg,hy_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,0.497171984909113,0.48076120040747283,"(1, 10374)",False,False,False,1,1490,,,,,False
lag_robustness_hqic_btc_eth_open_interest_daily_log_chg,lag_robustness,common_business_day,hqic,btc_eth_open_interest_daily_log_chg,ig_spread_daily_chg,btc_eth_open_interest_daily_log_chg,ig_spread_daily_chg,risk_to_crypto,individual,granger_causality_f_test,10.322685791888766,0.0013180636493516072,"(1, 10374)",True,True,True,1,1490,,,,,False
lag_robustness_hqic_btc_eth_open_interest_daily_log_chg,lag_robustness,common_business_day,hqic,btc_eth_open_interest_daily_log_chg,hy_spread_daily_chg + ig_spread_daily_chg,btc_eth_open_interest_daily_log_chg,"hy_spread_daily_chg, ig_spread_daily_chg",risk_to_crypto,joint_risk_group,granger_causality_f_test,8.015274819482237,0.0003324276414076676,"(2, 10374)",True,True,True,1,1490,,,,,False
primary_bic_btc_eth_funding_rate_avg,primary,common_business_day,bic,hy_spread_daily_chg,btc_eth_funding_rate_avg,hy_spread_daily_chg,btc_eth_funding_rate_avg,crypto_to_risk,individual,granger_causality_f_test,4.426225665734061,0.035414693651065504,"(1, 10374)",True,True,False,1,1490,,primary_forward_12_tests,12.0,0.2399324545637798,False
